created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T22:26:24-04:00,220,1,59,N,,,,
2023-04-15T22:26:55-04:00,221,2,28,N,,,,
2023-04-15T22:27:41-04:00,222,3,44,N,,,,
2023-04-15T22:28:12-04:00,223,4,28,N,,,,
2023-04-15T22:28:56-04:00,224,5,41,N,,,,
2023-04-15T22:29:24-04:00,225,6,25,N,,,,
2023-04-15T22:30:13-04:00,226,7,47,N,,,,
2023-04-15T22:30:44-04:00,227,8,28,N,,,,
2023-04-15T22:31:27-04:00,228,9,41,N,,,,
2023-04-15T22:31:52-04:00,229,10,23,N,,,,
2023-04-15T22:32:36-04:00,230,11,41,N,,,,
2023-04-15T22:33:05-04:00,231,12,27,N,,,,
2023-04-15T22:33:52-04:00,232,13,44,N,,,,
2023-04-15T22:34:17-04:00,233,14,23,N,,,,
2023-04-15T22:34:58-04:00,234,15,39,N,,,,
2023-04-15T22:35:27-04:00,235,16,27,N,,,,
2023-04-15T22:36:25-04:00,236,17,55,N,,,,
2023-04-15T22:36:52-04:00,237,18,25,N,,,,
2023-04-15T22:37:33-04:00,238,19,38,N,,,,
2023-04-15T22:37:58-04:00,239,20,23,N,,,,
2023-04-15T22:38:46-04:00,240,21,46,N,,,,
2023-04-15T22:39:11-04:00,241,22,23,N,,,,
2023-04-15T22:39:58-04:00,242,23,44,N,,,,
2023-04-15T22:40:25-04:00,243,24,25,N,,,,
2023-04-15T22:41:07-04:00,244,25,39,N,,,,
2023-04-15T22:41:39-04:00,245,26,30,N,,,,
2023-04-15T22:42:23-04:00,246,27,41,N,,,,
2023-04-15T22:42:51-04:00,247,28,25,N,,,,
2023-04-15T22:43:31-04:00,248,29,38,N,,,,
2023-04-15T22:43:56-04:00,249,30,23,N,,,,
2023-04-15T22:44:42-04:00,250,31,44,N,,,,
2023-04-15T22:45:12-04:00,251,32,28,N,,,,
2023-04-15T22:46:10-04:00,252,33,55,N,,,,
2023-04-15T22:46:37-04:00,253,34,24,N,,,,
2023-04-15T22:47:24-04:00,254,35,44,N,,,,
2023-04-15T22:47:49-04:00,255,36,23,N,,,,
2023-04-15T22:48:35-04:00,256,37,44,N,,,,
2023-04-15T22:49:02-04:00,257,38,25,N,,,,
2023-04-15T22:49:43-04:00,258,39,38,N,,,,
2023-04-15T22:50:14-04:00,259,40,29,N,,,,
2023-04-15T22:50:57-04:00,260,41,41,N,,,,
2023-04-15T22:51:31-04:00,261,42,30,N,,,,
2023-04-15T22:52:11-04:00,262,43,38,N,,,,
2023-04-15T22:52:38-04:00,263,44,24,N,,,,
2023-04-15T22:53:24-04:00,264,45,44,N,,,,
2023-04-15T22:53:49-04:00,265,46,23,N,,,,
2023-04-15T22:54:36-04:00,266,47,44,N,,,,
2023-04-15T22:55:03-04:00,267,48,24,N,,,,
2023-04-15T22:56:07-04:00,268,1,62,N,,,,
2023-04-15T22:56:33-04:00,269,2,24,N,,,,
2023-04-15T22:57:21-04:00,270,3,45,N,,,,
2023-04-15T22:57:46-04:00,271,4,23,N,,,,
2023-04-15T22:58:28-04:00,272,5,39,N,,,,
2023-04-15T22:58:56-04:00,273,6,26,N,,,,
2023-04-15T22:59:40-04:00,274,7,41,N,,,,
2023-04-15T23:00:12-04:00,275,8,30,N,,,,
2023-04-15T23:00:54-04:00,276,9,39,N,,,,
2023-04-15T23:01:20-04:00,277,10,24,N,,,,
2023-04-15T23:02:06-04:00,278,11,43,N,,,,
2023-04-15T23:02:34-04:00,279,12,26,N,,,,
2023-04-15T23:03:22-04:00,280,13,45,N,,,,
2023-04-15T23:03:47-04:00,281,14,23,N,,,,
2023-04-15T23:04:29-04:00,282,15,39,N,,,,
2023-04-15T23:04:58-04:00,283,16,27,N,,,,
2023-04-15T23:05:57-04:00,284,17,56,N,,,,
2023-04-15T23:06:23-04:00,285,18,24,N,,,,
2023-04-15T23:07:04-04:00,286,19,38,N,,,,
